NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,NU_NOTA_REDACAO,IDX
400,600,600,400,600,150737
400,400,400,600,400,150738
400,400,600,400,600,150739
600,600,600,600,600,150740
400,400,400,600,600,150741
400,400,400,400,400,150742
400,600,600,600,400,150743
400,600,400,600,400,150744
400,400,400,400,600,150745
400,400,400,400,400,150746
400,400,400,400,400,150747
400,400,400,400,400,150748
400,600,600,400,600,150749
400,400,400,400,200,150750
400,400,400,400,400,150751
400,400,400,400,400,150752
400,600,400,600,400,150753
400,600,600,400,400,150754
600,600,600,600,600,150755
400,400,400,400,600,150756
600,600,600,600,400,150757
400,600,400,400,600,150758
400,400,400,400,600,150759
600,600,600,600,800,150760
400,400,400,600,600,150761
600,600,600,800,800,150762
600,600,600,600,800,150763
400,600,600,400,200,150764
600,600,600,600,400,150765
400,400,400,400,400,150766
400,400,400,600,400,150767
600,400,400,400,400,150768
600,600,600,600,600,150769
400,400,600,400,400,150770
400,400,400,600,600,150771
400,600,600,600,800,150772
800,800,600,800,400,150773
400,600,400,600,400,150774
600,600,600,600,600,150775
800,600,400,800,600,150776
400,600,400,400,600,150777
400,600,600,400,600,150778
400,400,600,600,600,150779
400,400,400,400,400,150780
400,600,600,600,600,150781
600,600,600,600,600,150782
600,600,600,600,400,150783
600,600,600,600,600,150784
400,400,600,600,400,150785
400,400,400,400,400,150786
400,400,400,400,600,150787
600,600,600,600,400,150788
400,600,600,800,600,150789
400,600,600,600,600,150790
400,600,400,600,400,150791
400,400,400,400,400,150792
400,600,600,600,600,150793
400,400,400,600,400,150794
400,400,400,400,600,150795
400,400,400,400,600,150796
400,400,600,600,400,150797
400,600,600,600,800,150798
400,400,400,400,800,150799
400,400,600,400,400,150800
400,600,600,600,600,150801
400,600,600,600,400,150802
400,600,400,400,400,150803
400,400,600,600,800,150804
600,600,600,600,600,150805
400,400,400,400,400,150806
400,400,400,600,200,150807
400,600,400,400,600,150808
600,600,400,600,600,150809
600,600,600,600,800,150810
400,600,400,400,400,150811
400,600,400,600,800,150812
400,600,400,400,0,150813
400,600,400,400,600,150814
600,600,600,800,600,150815
600,600,600,400,0,150816
400,600,600,400,800,150817
400,400,400,600,600,150818
600,600,600,600,800,150819
600,600,600,400,400,150820
400,400,400,400,400,150821
400,600,400,600,600,150822
400,400,600,400,400,150823
400,600,600,600,200,150824
400,400,400,400,0,150825
400,600,400,600,400,150826
400,600,400,600,400,150827
400,400,400,400,400,150828
600,600,600,400,400,150829
600,600,600,800,600,150830
400,400,400,400,400,150831
400,400,400,600,600,150832
400,600,600,400,600,150833
400,600,400,400,400,150834
400,600,400,600,600,150835
400,600,400,400,400,150836
600,600,600,600,400,150837
400,400,400,400,600,150838
400,600,400,400,800,150839
400,400,400,400,600,150840
400,600,400,600,400,150841
400,400,400,400,400,150842
400,400,400,400,400,150843
400,400,600,400,600,150844
400,600,400,600,400,150845
400,400,400,600,400,150846
400,400,400,600,400,150847
400,600,600,400,800,150848
600,600,800,600,800,150849
600,600,600,400,400,150850
400,600,600,400,800,150851
400,400,400,400,200,150852
600,600,400,400,400,150853
400,400,400,400,400,150854
400,600,600,400,400,150855
600,600,600,600,600,150856
400,600,400,600,600,150857
400,400,400,400,600,150858
400,600,400,400,800,150859
400,400,400,600,600,150860
600,600,600,600,800,150861
400,400,400,600,400,150862
400,400,400,600,600,150863
400,600,400,400,400,150864
400,400,400,600,600,150865
400,400,600,600,600,150866
600,600,600,400,400,150867
400,400,400,400,400,150868
600,600,600,400,600,150869
400,600,600,600,600,150870
600,600,600,400,400,150871
600,600,600,600,600,150872
400,600,600,600,800,150873
400,600,600,600,600,150874
400,600,600,400,600,150875
600,600,600,800,600,150876
400,600,600,400,600,150877
600,600,600,600,800,150878
400,600,600,600,600,150879
400,600,600,600,800,150880
400,400,400,400,400,150881
400,400,400,400,400,150882
400,600,600,400,400,150883
400,600,600,600,800,150884
400,400,600,400,200,150885
400,400,400,600,400,150886
400,600,600,600,600,150887
600,400,400,600,400,150888
600,600,400,600,400,150889
400,600,400,400,400,150890
400,400,400,400,200,150891
600,600,400,400,400,150892
400,400,400,400,600,150893
400,600,600,600,600,150894
400,600,600,400,600,150895
400,600,400,400,400,150896
400,400,400,400,600,150897
400,400,400,600,400,150898
600,400,400,400,600,150899
400,400,400,400,400,150900
600,600,400,600,600,150901
400,600,600,600,600,150902
400,400,400,400,400,150903
400,600,600,600,400,150904
400,600,600,400,600,150905
400,400,400,600,0,150906
400,400,400,400,600,150907
400,600,400,400,400,150908
600,600,600,600,1000,150909
400,400,400,600,600,150910
400,600,400,400,400,150911
400,600,600,400,600,150912
400,600,600,400,600,150913
400,600,600,400,400,150914
400,400,400,400,400,150915
400,400,400,400,600,150916
400,400,400,400,400,150917
400,600,600,400,400,150918
600,600,600,600,400,150919
