UF_RESIDENCIA,IDADE,TP_SEXO,ST_CONCLUSAO,ANO_CONCLUIU,TP_ESCOLA,TP_ESTADO_CIVIL,TP_COR_RACA,IDX
21,18,0,1,2011,0,0,1,150510
9,15,0,3,0,0,0,1,150511
8,31,0,1,2004,0,0,3,150512
15,17,0,2,0,1,0,3,150513
19,20,1,2,0,1,0,2,150514
20,18,1,1,2012,0,0,1,150515
6,26,1,1,2012,0,0,3,150516
19,18,0,3,0,0,0,3,150517
19,19,1,2,0,1,0,3,150518
13,20,1,1,2012,0,0,3,150519
7,26,1,1,2012,0,0,3,150520
25,53,1,1,2004,0,0,2,150521
13,24,0,1,2007,0,0,1,150522
19,17,0,3,0,0,0,1,150523
5,19,0,2,0,2,0,1,150524
8,22,0,1,2009,0,0,3,150525
21,18,0,3,0,0,0,1,150526
21,17,0,3,0,0,0,1,150527
20,20,0,1,2011,0,0,1,150528
11,17,0,2,0,1,0,1,150529
10,18,0,2,0,1,0,3,150530
19,16,1,2,0,2,0,3,150531
25,21,1,3,0,0,0,3,150532
17,27,0,1,2004,0,0,1,150533
17,18,0,1,2012,0,0,3,150534
13,17,0,2,0,1,0,1,150535
13,16,0,3,0,0,0,1,150536
19,17,1,3,0,0,0,3,150537
8,18,0,1,2012,0,0,1,150538
8,46,1,1,2004,0,0,2,150539
16,16,1,3,0,0,0,1,150540
21,27,0,4,0,0,0,3,150541
4,19,0,1,2012,0,0,1,150542
21,18,1,1,2011,0,0,1,150543
24,18,0,2,0,1,0,1,150544
12,17,0,2,0,1,0,3,150545
21,54,1,1,2004,0,2,1,150546
13,22,1,1,2008,0,0,3,150547
2,17,0,2,0,1,0,1,150548
16,16,0,3,0,0,0,1,150549
20,25,1,1,2005,0,0,1,150550
16,23,0,1,2008,0,0,1,150551
25,18,0,1,2012,0,0,1,150552
14,19,1,1,2011,0,0,1,150553
19,18,0,1,2012,0,0,3,150554
6,17,0,3,0,0,0,3,150555
17,26,0,4,0,0,1,3,150556
25,18,1,2,0,1,0,3,150557
20,16,0,3,0,0,0,1,150558
6,41,1,1,2007,0,1,1,150559
12,15,1,3,0,0,0,1,150560
25,18,1,2,0,1,0,4,150561
9,18,0,2,0,2,0,1,150562
18,19,0,2,0,1,0,3,150563
25,17,0,2,0,1,0,2,150564
2,22,1,4,0,0,0,1,150565
25,16,1,3,0,0,0,1,150566
21,28,0,1,2004,0,0,1,150567
13,21,1,1,2010,0,0,1,150568
20,16,1,3,0,0,0,1,150569
10,22,0,2,0,1,0,1,150570
6,17,1,3,0,0,0,3,150571
10,21,1,2,0,1,0,3,150572
8,16,0,3,0,0,0,3,150573
2,22,1,1,2008,0,0,1,150574
19,17,0,2,0,1,0,3,150575
11,18,0,3,0,0,0,3,150576
15,20,1,2,0,1,0,3,150577
19,19,0,2,0,1,0,1,150578
11,17,1,2,0,1,0,1,150579
21,15,1,3,0,0,0,1,150580
15,16,0,3,0,0,0,3,150581
25,18,0,1,2012,0,0,1,150582
6,18,0,1,2012,0,0,2,150583
5,20,1,1,2010,0,0,3,150584
21,18,0,2,0,1,0,1,150585
17,18,1,2,0,1,0,3,150586
5,29,0,1,2008,0,0,2,150587
4,19,1,1,2011,0,0,4,150588
25,19,1,2,0,1,0,1,150589
19,19,1,1,2012,0,0,1,150590
15,17,1,3,0,0,0,3,150591
5,22,1,1,2008,0,0,3,150592
5,18,1,1,2011,0,0,3,150593
6,17,1,3,0,0,0,4,150594
13,27,0,1,2004,0,2,2,150595
13,22,1,1,2008,0,0,3,150596
5,16,1,3,0,0,0,1,150597
17,16,1,3,0,0,0,1,150598
13,18,0,3,0,0,0,1,150599
19,33,1,1,2012,0,0,1,150600
5,19,0,2,0,1,0,3,150601
